,Nombre_Institucion,Provincia,Canton,Parroquia,Numero_de_estudiantes,Numero_de_docentes
118,JORGE ICAZA CORONEL,EL ORO,CHILLA,CHILLA,30,4
120,BELISARIO FAJARDO,EL ORO,CHILLA,CHILLA,29,5
121,JORGE CHILES CORREA,EL ORO,CHILLA,CHILLA,10,3
123,LA INMACULADA,EL ORO,CHILLA,CHILLA,120,9
124,MEDARDO ANGEL SILVA,EL ORO,CHILLA,CHILLA,10,2
128,ANGEL MARIA COJITAMBO MACAS,EL ORO,CHILLA,CHILLA,60,7
129,CHILLA,EL ORO,CHILLA,CHILLA,137,16
130,VICENTE  MAYA,EL ORO,CHILLA,CHILLA,87,2
132,ZORAIDA MORA DE FRANCO,EL ORO,EL GUABO,LA IBERIA,74,5
133,CHARBEL JOSE FADUL SERRANO,EL ORO,EL GUABO,LA IBERIA,99,10
134,SERVIO SERRANO CORREA,EL ORO,EL GUABO,LA IBERIA,130,7
135,GUADALUPE FERNANDEZ DE CASTRO,EL ORO,EL GUABO,LA IBERIA,395,16
137,5 DE ABRIL,EL ORO,EL GUABO,EL GUABO,61,5
138,JOSE MARIA MORA GONZALEZ,EL ORO,EL GUABO,EL GUABO,438,20
139,GENERAL MANUEL SERRANO RENDA,EL ORO,EL GUABO,EL GUABO,835,26
140,INSTITUTO  7 DE SEPTIEMBRE,EL ORO,EL GUABO,EL GUABO,43,12
141,JORGE ALEX SERRANO AGUILAR,EL ORO,EL GUABO,EL GUABO,753,26
143,LA DOLOROSA,EL ORO,EL GUABO,EL GUABO,59,9
144,VIRGEN MARIA AUXILIADORA,EL ORO,EL GUABO,EL GUABO,26,5
145,SEGUNDO COELLO FIGUEROA,EL ORO,EL GUABO,EL GUABO,132,8
147,REPUBLICA DE FRANCIA,EL ORO,EL GUABO,EL GUABO,118,7
148,LATINOAMERICANO,EL ORO,EL GUABO,EL GUABO,82,9
149,VICTORIA CAÑARTE DE ORELLANA,EL ORO,EL GUABO,EL GUABO,66,7
150,JOSE LUIS MOLESTINA,EL ORO,EL GUABO,EL GUABO,44,5
151,OSCAR EFREN REYES,EL ORO,EL GUABO,EL GUABO,567,20
152,SAN ANTONIO DE PADUA,EL ORO,EL GUABO,EL GUABO,49,7
153,BOLIVIA  SERRANO MURILLO,EL ORO,EL GUABO,EL GUABO,686,26
154,ESPIRITU SANTO,EL ORO,EL GUABO,EL GUABO,118,13
155,LUCERITO,EL ORO,EL GUABO,EL GUABO,99,8
156,ATI II PILLAHUAZO,EL ORO,EL GUABO,EL GUABO,192,17
157,DARWIN SERRANO CORREA,EL ORO,EL GUABO,EL GUABO,322,13
158,PROVINCIA DE  EL  ORO,EL ORO,EL GUABO,EL GUABO,145,10
159,INSTITUTO ARTESANAL EL GUABO,EL ORO,EL GUABO,EL GUABO,256,12
160,EL GUABO,EL ORO,EL GUABO,EL GUABO,345,18
161,DR JOSE MIGUEL GARCIA MORENO,EL ORO,EL GUABO,EL GUABO,663,31
162,JUAN MONTALVO MEDINA CALDERON,EL ORO,EL GUABO,EL GUABO,81,7
163,MARIA DEL CARMEN,EL ORO,EL GUABO,EL GUABO,96,7
164,JOSE MORA QUIÑONEZ,EL ORO,EL GUABO,EL GUABO,226,19
165,GRAL JOSE MARIA CORDOVA,EL ORO,EL GUABO,EL GUABO,79,6
166,ZOILA UGARTE DE LANDIVAR,EL ORO,EL GUABO,EL GUABO,590,23
167,LUIS AGUILAR MARIN,EL ORO,EL GUABO,EL GUABO,109,7
168,ZOILA UGARTE DE LANDIVAR,EL ORO,EL GUABO,EL GUABO,60,2
169,MILTON BORJA RAMIREZ,EL ORO,EL GUABO,EL GUABO,130,7
170,FILOMENA CORREA DE SERRANO,EL ORO,EL GUABO,TENDALES,76,6
172,OVIDIO DECROLY,EL ORO,EL GUABO,BARBONES (SUCRE),18,4
173,6  DE AGOSTO,EL ORO,EL GUABO,BARBONES (SUCRE),637,31
174,LUIS FELIPE BORJA,EL ORO,EL GUABO,BARBONES (SUCRE),168,10
175,OTILIA MARIA SERRANO PAREJA,EL ORO,EL GUABO,BARBONES (SUCRE),115,6
176,ENRIQUE RUILOVA,EL ORO,EL GUABO,BARBONES (SUCRE),24,4
177,PROVINCIA DE LOS RIOS,EL ORO,EL GUABO,BARBONES (SUCRE),827,29
