,Nombre de la Institución Educativa,Provincia
1459,REINA JULIANA DE HOLANDA,LOJA
1460,JOSE BENIGNO JARAMILLO,LOJA
1461,VICTOR MERCANTE,LOJA
1462,COLEGIO NACIONAL DR. EDUARDO MORA MORENO,LOJA
1463,CLORINDA ESPINOSA,LOJA
1464,BENJAMIN FRANKLIN NO 30,LOJA
1465,SIN NOMBRE (LINDEROS),LOJA
1466,RIO LAGARTOCOCHA,LOJA
1467,DR HUGO GUILLERMO GONZALEZ,LOJA
1468,BENJAMIN AYORA,LOJA
1469,OLGA MOROCHO CORREA,LOJA
1470,JUAN ZAMBRANO,LOJA
1471,TULCAN,LOJA
1472,JOSE MARIA BUSTAMANTE,LOJA
1473,RICARDO VALDIVIESO,LOJA
1474,VICENTE JARAMILLO PALACIO,LOJA
1475,PEDRO PINTO GUZMAN,LOJA
1476,ANGEL RUBEN  PLACENCIA,LOJA
1477,CLOTARIO ESPINOSA SIGCHO,LOJA
1478,GUILLERMO HERRERA SANCHEZ,LOJA
1479,PIO JARAMILLO ALVARADO,LOJA
1480,DR. BENJAMIN AYORA CUEVA,LOJA
1481,PEDRO FERMIN CEVALLOS,LOJA
1482,ISABEL DE ARAGON,LOJA
1483,ADOLFO VALAREZO,LOJA
1484,JUAN BENIGNO VELA,LOJA
1485,JUVENTUD EN MARCHA,LOJA
1486,EDUARDO UNDA BUSTAMANTE,LOJA
1487,LIBIA MELIDA JARAMILLO,LOJA
1488,LEONCIO JARAMILLO ESCUDERO,LOJA
1489,ANTONIO JIMENEZ DE MONTE,LOJA
1490,MARIA DOMINGA GUAYA SINCHE,LOJA
1491,SAN VICENTE FERRER,LOJA
1492,GONZALEZ SUAREZ,LOJA
1493,CENTRO OCUPACIONAL DE MÚSICA EMILIO ESCUDERO,LOJA
1494,SEI FOOTPRINTS ELEMENTARY SCHOOL (PRIMARIA),LOJA
1495,LOS OLIVOS,LOJA
1496,MUNDO DE COLORES,LOJA
1497,CABO MINACHO,LOJA
1498,COLEGIO POPULAR A DISTANCIA PIO JARAMILLO ALVARADO,LOJA
1499,ESCUELA FISCAL DE NIÑAS ELISEO ÁLVAREZ,LOJA
1500,CENTRO EDUCATIVO AMAUTA,LOJA
1501,CDI YACUARCUNA ANEXO A LA GUARDERIA,LOJA
1502,DR MANUEL BENJAMIN CARRION MORA,LOJA
1503,DOCTOR BENJAMIN CARRION,LOJA
1504,ESPECIAL CIUDAD DE LOJA N1,LOJA
1505,CENTRO EDUCATIVO PARTICULAR BILINGUE ARCOIRIS,LOJA
1506,ESCUELA FISCOMISIONAL EDUVIGES PORTALET,LOJA
1507,ESCUELA ALONSO DE MERCADILLO,LOJA
1508,CENTRO EDUCATIVO INTEGRAL ALBORADA,LOJA
1509,COLEGIO EXPIREMENTAL PIO JARAMILLO ALVARADO,LOJA
1510,CHISPITAS,LOJA
1511,CENTRO DE FORMACION ARTESANAL  FEDERACION DE ARTESANOS DE LOJA,LOJA
1512,UNIDAD EDUCATIVA  MUNICIPAL  PRADERA,LOJA
1513,MANUEL JOSE AGUIRRE,LOJA
1514,UNIDAD EDUCATIVA EXPERIMENTAL PARA CIEGOS LUIS BRAILLE,LOJA
1515,NICOLASA JURADO,LOJA
1516,PIO JARAMILLO ALVARADO,LOJA
1517,LINDEMBERG,LOJA
1518,GOTITAS DE MIEL,LOJA
1519,COLEGIO EXPERIMENTAL BERNARDO VALDIVIESO,LOJA
1520,APRENDER JUGANDO,LOJA
1521,TAGESSCHULE Y COLEGIO SAN GERARDO,LOJA
1522,ENRIQUE AGUIRRE BUSTAMANTE,LOJA
1523,UNIDAD EDUCATIVA ANEXA A LA UNIVERSIDAD NACIONAL DE LOJA,LOJA
1524,DR. FRANCISCO COSTA MALDONADO,LOJA
1525,DR. REINALDO ESPINOZA AGUILAR,LOJA
1526,CENTRO EDUCATIVO PARTICULAR BILINGUE SAN ANDRES (PRIMARIO),LOJA
1527,MUNICIPAL ECOLOGICA,LOJA
1528,DOROTEA CARRION,LOJA
1529,MATER DEI000,LOJA
1530,LICEO AMERICANO,LOJA
1531,ROSA ELENA EGUIGUREN,LOJA
1532,CARLOS BURNEO ARIAS,LOJA
1533,EDISON CALLE LOAIZA,LOJA
1534,U.E MUNICIPAL HEROES DEL CENEPA,LOJA
1535,LUIS HUMBERTO BENITEZ COSTA,LOJA
1536,ALFONSO AULESTIA BRAVO,LOJA
1537,TECNICO FISCAL MIXTO 27 DE FEBRERO,LOJA
1538,MERCEDES DE JESUS MOLINA Y AYALA,LOJA
1539,CONSERVATORIO SUPERIOR SALVADOR BUSTAMANTE CELI,LOJA
1540,DON BOSCO,LOJA
1541,HUMANITOS,LOJA
1542,CORDILLERA,LOJA
1543,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION RENACIMIENTO,LOJA
1544,FAUSTO MOLINA,LOJA
1545,MIGUEL ANGEL SUAREZ ROJAS,LOJA
1546,ADOLFO JURADO GONZALEZ,LOJA
1547,ANGEL MODESTO VALLEJO VIVANCO,LOJA
1548,AGUSTIN ALFONSO PALACIO PALACIO,LOJA
1549,UNIDAD INFANTIL Y ORFANATO MUNICIPAL N1,LOJA
1550,TENIENTE HUGO ORTIZ N2,LOJA
1551,UNIDAD EDUC FISCOMISIONAL A DISTACIA JOSE MARIA VELAZ SJ EXT 1LOJA,LOJA
1552,BENIGNO BAYANCELA,LOJA
1553,UNIDAD EDUCATIVA CALASANZ,LOJA
1554,INSTITUTO TECNOLOGICO SUPERIOR DANIEL ALVAREZ BURNEO,LOJA
1555,SIGLO XXI,LOJA
1556,EL TESORO DEL SABER,LOJA
1557,CENTRO ARTESANAL TNTE. HUGO ORTIZ,LOJA
1558,TENIENTE HUGO ORTIZ N1,LOJA
1559,CENTRO EDUCATIVO CARPE DIEM,LOJA
1560,CENTRO ARTESANAL DOROTEA CARRION,LOJA
1561,DR  JOSE MIGUEL CARRION  MORA,LOJA
1562,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXT HNO ANGEL PASTRANA,LOJA
1563,ANTONIO PENA CELI,LOJA
1564,CENTRO EDUCATIVO INTERANDINO,LOJA
1565,CENTRO DE FORMACION ARTESANAL RAMONA CABRERA,LOJA
1566,UNIDAD EDUCATIVA SANTA MARIANA DE JESUS,LOJA
1567,ESC. ADOLFO JURADO GONZALEZ,LOJA
1568,JUAN PABLO II,LOJA
1569,RAINBOW PLAY SCHOOL,LOJA
1570,CENTRO EDUCATIVO PARTICULAR BILINGUE BETEL,LOJA
1571,COLEGIO PARTICULAR ISIDRO AYORA,LOJA
1572,COLEGIO PARTICULA R JUAN MONTALVO,LOJA
1573,MIGUEL RIOFRIO  N 1,LOJA
1574,UNIDAD EDUCATIVA ATENEO,LOJA
1575,MONS. FRANCISCO VALDIVIEZO ALVARADO,LOJA
1576,SAN JUAN BAUTISTA DE LA SALLE,LOJA
1577,UNIDAD EDUCATIVA FISCOMISIONAL  VICENTE ANDA AGUIRRE,LOJA
1578,UNIDAD EDUCATIVA PARTICULAR LA INMACULADA,LOJA
1579,JOSE ANTONIO EGUIGUREN  LA SALLE,LOJA
1580,UNIDAD EDUCATIVA SAN FRANCISCO DE ASIS,LOJA
1581,UNIDAD EDUCATIVA LA PORCIUNCULA,LOJA
1582,MIGUEL ANGEL SUAREZ ROJAS,LOJA
1583,ESCUELA 18 DE NOVIEMBRE,LOJA
1584,CENTRO DE DESARROLLO INTEGRAL PUNTO DE PARTIDA,LOJA
1585,MIGUEL RIOFRIO N° 2,LOJA
1586,ESCUELA PARTICULAR VESPERTINA CONFESIONAL LA DOLOROSA,LOJA
1587,INSTITUTO ESPECIAL FISCAL PARA CIEGOS BYRON EGUIGUREN,LOJA
1588,COLEGIO DE BACHILLERATO BEATRIZ CUEVA DE AYORA,LOJA
1589,LAS ABEJITAS,LOJA
1590,CADE,LOJA
1591,COLEGIO DR. ANTONIO PEñA CELI,LOJA
1592,ROSA JOSEFINA BURNEO DE BURNEO,LOJA
1593,MONTSERRAT,LOJA
1594,CENTRO DE PRIMARIA POPULAR BRIGADA DE INFANTERIA N 7,LOJA
1595,LAS ARDILLITAS,LOJA
1596,LUIS ANTONIO ENRIQUE ORTEGA,LOJA
1597,VICENTE BASTIDAS REINOSO,LOJA
1598,25 DE DICIEMBRE,LOJA
1599,ISIDRO AYORA PRESIDENTE,LOJA
1600,MANUEL IGNACIO MONTERO VALDIVIESO,LOJA
1601,HERNAN GALLARDO MOSCOSO,LOJA
1602,PARAISO INFANTIL,LOJA
1603,PEDRO DE CIANCA,LOJA
1604,BURBUJITAS DE SABIDURIA,LOJA
1605,FILOMENA ROJAS,LOJA
1606,ZOILA MARIA ASTUDILLO CELI,LOJA
1607,JOSE ALEJANDRINO VELASCO,LOJA
1608,FILOMENA MORA DE CARRION,LOJA
1609,UNIDAD EDUCATIVA MUNICIPAL DR ANGEL FELICISIMO ROJAS,LOJA
1610,UNIDAD EDUCATIVA MUNICIPAL MONSEÑOR JORGE GUILLERMO ARMIJOS,LOJA
1611,CIUDAD DE LOJA,LOJA
1612,JULIO ORDOÑEZ ESPINOSA,LOJA
1613,JOSE ANGEL PALACIO,LOJA
1614,ORIENTE ECUATORIANO,LOJA
1615,COLEGIO FISCAL MIXTO MANUEL ENRIQUE RENGEL,LOJA
1616,ROSA GRIMANESA ORTEGA,LOJA
1617,JOSE MIGUEL GARCIA MORENO,LOJA
1618,INTERNATIONAL SCHOOL HIJOS DEL REY,LOJA
1619,COLEGIO NACIONAL ADOLFO VALAREZO,LOJA
1620,CENTRO DE REHABILITACION DE MENORES,LOJA
1621,CENTRO EDUCATIVO PARTICULAR BILINGUE DIRIGENTES DEL FUTURO,LOJA
1622,PARTICULAR A DISTANCIA AMAZONAS,LOJA
1623,LAURO DAMERVAL AYORA Nº2,LOJA
1624,INSTITUTO PARTICULAR DE EDUCACION BASICA SIMON BOLIVAR,LOJA
1625,RAMON SEBASTIAN VALDIVIEZO,LOJA
1626,REPUBLICA DE CUBA,LOJA
1627,DANIEL RODAS BUSTAMANTE,LOJA
1628,DRA  MATILDE HIDALGO DE PROCEL N1,LOJA
1629,GRACIELA FELIPA ATARIHUANA,LOJA
1630,UNIDAD EDUCATIVA MUNICIPAL TIERRAS COLORADAS,LOJA
1631,U.E MUNICIPAL BORJA,LOJA
1632,MATILDE HIDALGO DE PROCEL NRO 2,LOJA
1633,ANDRES MACHADO MONTERO,LOJA
1634,CAPULÍ LOMA,LOJA
1635,MONS.JUAN MARIA RIOFRIO,LOJA
1636,JOSE MIGUEL BURNEO BURNEO,LOJA
1637,LUZ HORTENSIA RUIZ CENTRO ARTESANAL,LOJA
1638,CENTRO EDUCATIVO IV CENTENARIO 2,LOJA
1639,CENTRO EDUCATIVO SAGRADO CORAZON PRIMARIA,LOJA
1640,NIÑO JESUS,LOJA
1641,C.E.P. TIMOTEO,LOJA
1642,UNIDAD INFANTIL MUNICIPAL CENTRO COMERIAL LOJA,LOJA
1643,LAURO DAMERVAL AYORA 1,LOJA
1644,INSTITUTO EDUCATIVO SAN FRANCISCO JAVIER,LOJA
1645,CENTRO DE AUDICION Y LENGUAJE,LOJA
1646,LAS TRAVESURAS DE CAMILO,LOJA
1647,CUARTO  CENTENARIO  N 1,LOJA
1648,ZOILA ALVARADO DE JARAMILLO,LOJA
1649,FERNANDO CHAVEZ,LOJA
1650,SIN NOMBRE,LOJA
1651,CENTINELA DEL SUR,LOJA
1652,MADRE ETERNA,LOJA
1653,LA FLORIDA,LOJA
1654,RAMON BURNEO,LOJA
1655,JOSE RAFAEL ARIZAGA VEGA,LOJA
1656,I.E. ESPECIAL DE LOJA NO. 2,LOJA
1657,DR.JORGE CASTILLO CARRION,LOJA
1658,FEDERICO GARCIA LORCA,LOJA
1659,DR. ANGEL RAFAEL MORALES,LOJA
1660,ROSA SANCHEZ DE FIERRO,LOJA
1661,CLOTILDE GUILLEN DE REZANO,LOJA
1662,DR LUIS FELIPE ZAPATER ALVAREZ BLANCO,LOJA
1663,24 DE MAYO,LOJA
1664,HUGO GUILLERMO GONZALEZ,LOJA
1665,IBEROAMERICANO SAN AGUSTIN,LOJA
1666,POMPILIO REINOSO JARAMILLO,LOJA
1667,COLEGIO PARTICULAR EUGENIO ESPEJO,LOJA
1668,JULIO MARIA MATOVELLE,LOJA
1669,MARIETA DE VEINTIMILLA,LOJA
1670,UNIDAD EDUCATIVA TENIENTE CORONEL LAURO GUERRERO,LOJA
1671,ALBERGUE INFANTIL PADRE JULIO VILLARROEL OCAÑA,LOJA
1672,GUSTAVO DARQUEA TERAN,LOJA
1673,JOSE MARIA JARAMILLO SUAREZ,LOJA
1674,EMILIANO MORA,LOJA
1675,EDUCARE,LOJA
1676,JOSE INGENIEROS NUMERO 1,LOJA
1677,FRANCISCO RODAS BUSTAMANTE,LOJA
1678,MUNDO DE JUGUETE,LOJA
1679,JOSE INGENIERO N 2,LOJA
1680,SAN PABLO,LOJA
1681,CENTRO EDUCATIVO COMUNITARIO PACHAKUTIK,LOJA
1682,UNIDAD EDUCATIVA FERNANDO SUAREZ PALACIO,LOJA
1683,AMARILIS FUENTES,LOJA
1684,INTI PAKARI,LOJA
1685,WAKA KUSKA,LOJA
1686,BALBINA HIDALGO,LOJA
1687,CARCHI N21,LOJA
1688,DR MAXIMO AGUSTIN RODRIGEZ,LOJA
1689,SANTA CATALINA,LOJA
1690,MIGUEL ESPINOSA,LOJA
1691,CAMINOS DEL SABER,LOJA
1692,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXT MONS LEONIDAS PROAÑO,LOJA
1693,KAPAK RAYMI,LOJA
1694,VICTOR MARCOS MEDINA,LOJA
1695,MONSEÑOR LEONIDAS PROAÑO N 3,LOJA
1696,LUZ COSTA ZABALETA,LOJA
1697,MARIANA DE JESUS GUANUCHE,LOJA
1698,ROBERTO ANDRADE,LOJA
1699,INKA ÑAN,LOJA
1700,AMAWTA WASI,LOJA
1701,MONS LEONIDAS PROAÑO NO 2,LOJA
1702,RUMIÑAHUI,LOJA
1703,YACHAYTA MICHIK,LOJA
1704,INKA PIRKA,LOJA
1705,JOSEFA AMELIA ORTEGA ESPINOZA,LOJA
1706,ATAHUALPA Nº 18,LOJA
1707,UNIDAD EDUCATIVA A DISTANCIA DE LOJA  EXT MADRE LAURA MONTOYA,LOJA
1708,UNIDAD EDUCATIVA MUSHUK RIMAK,LOJA
1709,PEREZ TAGLE,LOJA
1710,ROSA MATILDE ALVEAR,LOJA
1711,LUIS PASTEUR,LOJA
1712,LOPEZ DE LEON,LOJA
1713,MAGDALENA DAVALOS,LOJA
1714,LEOPOLDO NICOLAS CHAVEZ,LOJA
1715,MERCEDES ALCIRA PALACIOS DE CARPIO,LOJA
1716,ABDON CALDERON MUÑOZ,LOJA
1717,AMAWTA KAWSAY,LOJA
1718,ABDON CALDERON,LOJA
1719,SR. MANUEL DE JESUS AUQUILLA CAMBISACA,LOJA
1720,HERNANDO DE BENAVENTE,LOJA
1721,COLEGIO NACIONAL MIXTO EL CISNE,LOJA
1722,GASPAR GOMEZ DE SALAZAR,LOJA
1723,COLEGIO NACIONAL AGUSTIN CURIPOMA,LOJA
1724,PEDRO BENAVENTE,LOJA
1725,ALVAREZ SANCHEZ COLOMBIA,LOJA
1726,HOMERO VITERI LA FRONTE,LOJA
1727,PRIMERO DE JUNIO,LOJA
1728,JULIA JARAMILLO,LOJA
1729,ALFONSO MARIA SILVA,LOJA
1730,10 DE DICIEMBRE,LOJA
1731,UNIDAD EDUCATIVA FISCOMISIONAL CORAZON DE MARIA,LOJA
1732,ESCUELA IBARRA,LOJA
1733,AZUAY N 12,LOJA
1734,GONZALO PIZARRO,LOJA
1735,VICTOR AMABLE ZHUNAULA,LOJA
1736,CARDENAL PABLO MUÑOZ VEGA,LOJA
1737,LEONARDO GALAN PEREZ,LOJA
1738,GALO PLAZA LASO,LOJA
1739,LIBERTADOR BOLIVAR,LOJA
1740,COLEGIO PARTICULAR JOSE MARIA VIVAR CASTRO,LOJA
1741,CLODOVEO CARRION,LOJA
1742,LICEO DE LOJA,LOJA
1743,ARTESANAL CECIM,LOJA
1744,COLEGIO PARTICULAR A DISTANCIA DR. JOSE MARIA VIVAR CASTRO,LOJA
1745,TENDENCIAS INFORMATICAS,LOJA
1746,CENTRO DE REHABILITACION DE ADULTOS DE LOJA,LOJA
1747,CONSERVATORIO PARTICULAR DE ARTE ANTON BRUCKNER,LOJA
1748,GOTITAS DE MIEL,LOJA
1749,POPULAR,LOJA
1750,MANUEL ENRIQUE RENGEL,LOJA
1751,LUZ BENIGNA LUZURIAGA MORALES,LOJA
1752,JORGE SOTOMAYOR CASTRO,LOJA
1753,CENTRO DE FORMACION ARTESANAL SANTA MARIANA DE JESUS,LOJA
1754,UNIDAD EDUCATIVA DEL MILENIO  5 DE JUNIO,LOJA
1755,13 DE JUNIO,LOJA
1756,CORONEL MIGUEL ANGEL ESTRELLA,LOJA
1757,MANUELITA SAENZ,LOJA
1758,DR. CARLOS ROMAN HINOSTROSA,LOJA
1759,SANTA MARIANA DE JESUS,LOJA
1760,DIEZ DE AGOSTO DE MACARA,LOJA
1761,CARLOS FRANCO PEREZ,LOJA
1762,RIO SANTIAGO,LOJA
1763,CARLOS  AROSEMENA TOLA,LOJA
1764,JUVENTINO CARRERA,LOJA
1765,ANTONIO ANTE,LOJA
1766,LUIS ALBERTO VALENCIA,LOJA
1767,JUAN RAFAEL ARROBO,LOJA
1768,LUIS FELIPE ROMAN JARAMILLO,LOJA
1769,CARLOS VEINTIMILLA,LOJA
1770,MANUEL ENRIQUE RENGEL,LOJA
1771,IGNACIO ADOLFO GRANDA VALAREZO,LOJA
1772,UNIDAD EDUCATIVA FISCOMISIONAL MARISTA,LOJA
1773,CIUDAD DE CUENCA,LOJA
1774,JARDIN DE INFANTES GEOFRE LUZURIAGA,LOJA
1775,NUEVO AMANECER,LOJA
1776,NUEVO AMANECER,LOJA
1777,VICENTE RAMON ROCA,LOJA
1778,MANUEL DARIO SUQUILANDA ARIAS,LOJA
1779,MAXIMILIANO ROMAN,LOJA
1780,CARLOS GUERRA BOADA,LOJA
1781,EMILIO BUSTAMANTE MORA,LOJA
1782,JOHN F. KENNEDY,LOJA
1783,SALVADOR BUSTAMANTE CELI,LOJA
1784,JUVENAL JARAMILLO,LOJA
1785,SEGUNDO ABELARDO ACARO,LOJA
1786,CARLOS MARX,LOJA
1787,ROSARIO LUCRECIA APOLO LARREATEGUI,LOJA
1788,UNIDAD EDUCATIVA A DISTANCIA DE LOJA  EXT PROYECCION AL FUTURO,LOJA
1789,CENTRO ARTESANAL JUAN RAFAEL ARROBO,LOJA
1790,MACARA,LOJA
1791,LUZ BENIGNA CALLE,LOJA
1792,RAFAEL CELI,LOJA
1793,MANUEL BENIGNO CUEVA,LOJA
1794,SIMON RODRIGUEZ,LOJA
1795,COLEGIO TECNICO AGROPECUARIO JORGE SANCHEZ MORENO,LOJA
1796,NUEVO PORVENIR,LOJA
1797,CELIA VICTORIA ORTEGA,LOJA
1798,FRANCISCO GRANDA CORDOVA,LOJA
1799,TORIBIO MORA,LOJA
1800,LUIS ALFREDO BUSTAMANTE,LOJA
1801,BASE  SUR,LOJA
1802,HEROES DE TIWINTZA,LOJA
1803,ANGELA PETRONILA CELI,LOJA
1804,RAMON ZÚÑIGA,LOJA
1805,DR. GUSTAVO ORTIZ ORELLANA,LOJA
1806,CARLOS GUEVARA MORENO,LOJA
1807,ROSA HONORINA HIDALGO SOTOMAYOR DE RODRIGUEZ,LOJA
1808,DR. DARIO EGUIGUREN,LOJA
1809,ALFREDO OSPINA,LOJA
1810,JOSE MARÍA ESPINOZA,LOJA
1811,COLEGIO TECNICO AGROPECUARIO LA VICTORIA,LOJA
1812,GOTITAS DEL SABER,LOJA
1813,NUEVA ESPERANZA,LOJA
1814,JUAN JOSE FLORES,LOJA
1815,ROLANDO VELEZ RIVERA,LOJA
1816,BARTOLOME DE LAS CASAS,LOJA
1817,ESCUELA CIUDAD DE MACARA MIXTA,LOJA
1818,PAUL RIVETT,LOJA
1819,HERMINIA JARAMILLO VACA,LOJA
1820,25 DE JULIO,LOJA
1821,SEGUNDO NICANOR CASTILLO,LOJA
1822,LIC. ANGEL BENIGNO CARRION,LOJA
1823,CAMILO GALLEGOS DOMINGUEZ,LOJA
1824,CENTRO DE FORMACION ARTESANAL OLMEDO,LOJA
1825,ROSA AMALIA PALADINES,LOJA
1826,AMERICO VESPUCIO,LOJA
1827,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXT LIC PATRICIO CARVAJAL,LOJA
1828,DR RAFAEL SEVILLA,LOJA
1829,COLEGIO NACIONAL LA TINGUE,LOJA
1830,DR  MANUEL VARGAS CALLE,LOJA
1831,JUAN RAFAEL SANCHEZ ROMAN,LOJA
1832,LUIS GODIN,LOJA
1833,CUIDAD DE BRASILIA,LOJA
1834,JUAN DE ALDERETE,LOJA
1835,UNIDAD EDUCATIVA     MONS  ALBERTO ZAMBRANO PALACIOS,LOJA
1836,GUAYAQUIL,LOJA
1837,JULIO VERNE,LOJA
1838,ESCUELA FISCAL MIXTA OLMEDO,LOJA
1839,DR FRANSISCO COSTA ZABALETA,LOJA
1840,CIUDAD DE LA PAZ,LOJA
1841,MARQUEZA DE SOLANDA,LOJA
1842,IGNACIO DE VEINTIMILLA,LOJA
1843,ECUELA FISCAL MIXTA SAMUEL VALDIVIESO,LOJA
1844,RIO ZARUMILLA,LOJA
1845,BERTHA MARINA QUISHPE VIRE,LOJA
1846,JOSE BENJAMIIN ROBLES CARRION,LOJA
1847,VASCO NUNEZ DE BALBOA,LOJA
1848,ANTONIO NARIÑO,LOJA
1849,LUIS BARRAGAN TORRES,LOJA
1850,HECTOR BURBANO,LOJA
1851,SUIZA,LOJA
1852,CRISTOBAL COLON,LOJA
1853,FRANCISCO VALDIVIESO,LOJA
1854,LEONIDAS PROAÑO,LOJA
1855,MATILDE HIDALGO DE PROCEL,LOJA
1856,3 DE DICIEMBRE,LOJA
1857,PROFESOR GALO ANIBAL LOPEZ VIVANCO,LOJA
1858,MIGUEL VALDIVIESO,LOJA
1859,ROBERTO RUILOVA,LOJA
1860,FRANCISCO TERAN,LOJA
1861,GENERAL SAN MARTIN,LOJA
1862,DIVINO NIÑO JESÚS,LOJA
1863,HERMEL N VELASCO,LOJA
1864,BERTHA ABARCA DE LUDEÑA,LOJA
1865,GONZALO RUBIO ORBE,LOJA
1866,PRINCESA TOA,LOJA
1867,DR JOSE MARIA VELASCO IBARRA,LOJA
1868,HERMINIA MASACHE JARAMILLO,LOJA
1869,RAFAEL TANDAZO TACURI,LOJA
1870,25 DE AGOSTO,LOJA
1871,AQUILES PEREZ,LOJA
1872,CENTRO DE EDUCACION ESPECIAL JOSE BELISARIO DIAZ,LOJA
1873,MARCELINO CHAMPAGNAT,LOJA
1874,DOMINGO CELI,LOJA
1875,LUIS FERNANDO BRAVO PLANTEL CENTRAL DE LA RED EDUCATIVA TACORANGA,LOJA
1876,LEONIDAS PROAÑO,LOJA
1877,MONSEÑOR JORGE GUILLERMO ARMIJOS,LOJA
1878,UNIDAD EDUCATIVA DISTANCIA DE LOJA EXT DR MARIO ABRIL FREIRE,LOJA
1879,ALFREDO BAQUERIZO MORENO,LOJA
1880,25 DE JUNIO,LOJA
1881,LASTENIA VALDIVIESO ALVARADO,LOJA
1882,SU MAJESTAD EL NIÑO,LOJA
1883,ESCUELA FISCAL PISACA,LOJA
1884,RAFAEL VILLAVICENCIO VELEZ,LOJA
1885,COLEGIO NACIONAL SEGUNDO CUEVA CELI,LOJA
1886,MANUEL RIOFRIO,LOJA
1887,MANUEL UTRERAS GOMEZ,LOJA
1888,13 DE MAYO,LOJA
1889,NUESTRA SEÑORA DEL CARMEN,LOJA
1890,TRINIDAD TORRES,LOJA
1891,UNIDAD EDUCATIVA MARISTA CATACOCHA,LOJA
1892,DOCTOR MANUEL ALEJANDRO CARRION,LOJA
1893,LUIS ALFREDO MARTINEZ,LOJA
1894,CARLOS EDUARDO GONZALEZ,LOJA
1895,MONSENOR FRANCISCO VALDIVIEZO,LOJA
1896,EXPERIMENTAL PALTAS,LOJA
1897,EDMUNDO CARBO,LOJA
1898,LEONIDAS AUGUSTO GUERRERO LOPEZ,LOJA
1899,DANIEL ALVAREZ BURNEO,LOJA
1900,COLEGIO DR CARLOS MANUEL ESPINOZA,LOJA
1901,PROFESOR SEGUNDO CHAMBA BARBA,LOJA
1902,MANUEL VICENTE VIVANCO,LOJA
1903,JOSE ROSA MALDONADO HURTADO,LOJA
1904,14 DE ABRIL,LOJA
1905,DARIO GUEVARA,LOJA
1906,HNO. JOAQUIN LLEBANA CALLE,LOJA
1907,JUAN MARIA ARMIJOS CAMPOVERDE,LOJA
1908,MAXIMILIANO BARBA,LOJA
1909,MANUEL  J  JARAMILLO,LOJA
1910,GUILLERMO HUMBERTO VINTIMILLA,LOJA
1911,JUAN IVAN CUEVA,LOJA
1912,SEGUNDO VICENTE CARRION ORTEGA,LOJA
1913,JUAN RAMON JIMENEZ,LOJA
1914,COLEGIO NACIONAL MACANDAMINE,LOJA
1915,CORINA PARRAL DE VELASCO IBARRA,LOJA
1916,19 DE SEPTIEMBRE,LOJA
1917,FILOMENO ALVERTANO VALAREZO ROMAN,LOJA
1918,BERMEO VASQUEZ,LOJA
1919,DR. JUAN FRANCISCO ONTANEDA,LOJA
1920,JORGE GUILLERMO ARMIJOS,LOJA
1921,MONSEÑOR FRANCISCO VALDIVIESO ALVARADO,LOJA
1922,ESCUELA FRANCISCO CELI BARBA SEDE RED ESCOLAR RURAL YAMANA,LOJA
1923,VENTURA ENCALADA BARRAGAN,LOJA
1924,ALFREDO VERA,LOJA
1925,DARIO BENAVIDES ,LOJA
1926,ANDRES F.CORDOVA,LOJA
1927,BUENOS AIRES,LOJA
1928,CANONIGO BOLIVAR BAILON MORALES,LOJA
1929,LUIS CLEMENTE CUEVA,LOJA
1930,ESCUELA RUMICHACA,LOJA
1931,EZEQUIEL MANUEL GUAMAN SARAGURO,LOJA
1932,HECTOR LARA ZAMBRANO,LOJA
1933,TECNICO AGROPECUARIO FRONTERA SUR,LOJA
1934,APARICIO BRAVO,LOJA
1935,CELSO FELIPE ATARIHUANA,LOJA
1936,ESCUELA DANIEL ALVAREZ BURNEO,LOJA
1937,ISAURO DE JESUS DIAZ DIAZ,LOJA
1938,VICTOR MANUEL REYES AZANZA,LOJA
1939,PEDRO VICTOR FALCONI,LOJA
1940,COLEGIO TECNICO AGROPECUARIO TCNEL. LAURO GUERRERO,LOJA
1941,DOMINGO FAUSTINO SARMIENTO,LOJA
1942,DEMOSTENES,LOJA
1943,ISAURO BORRERO RIOFRIO,LOJA
1944,LAURA PIEDRA,LOJA
1945,PARCIALIDAD DE LOS PALTAS,LOJA
1946,LAURO GUERRERO BECERRA,LOJA
1947,JOSE MARIA ALDEAN,LOJA
1948,ESTHER CARRION,LOJA
1949,ANDRES BELLO,LOJA
1950,NICANOR GUERRERO,LOJA
1951,FRANCISCO RODRIGUEZ,LOJA
1952,EMILIANO GUERRERO,LOJA
1953,MARIANO DE JESUS MUIMA JARA,LOJA
1954,ESCUELA GUACHANAMA,LOJA
1955,MANUEL DE JESUS VARGAS GUALAN,LOJA
1956,VIRGILIO A LUDEÑA,LOJA
1957,GARCILAZO DE LA VEGA,LOJA
1958,VICENTE ANDA AGUIRRE,LOJA
1959,BELISARIO QUEVEDO,LOJA
1960,29 DE MAYO,LOJA
1961,DR. FRAY PEDRO RODRIGEZ DE AGUAYO,LOJA
1962,UNIDAD EDUCATIVA A DISTANCIA DE LOJA  EXT HNO MIGUEL FEBRES CORDERO,LOJA
1963,CONQUISTADORES PALTENSES,LOJA
1964,MIGUEL ANGEL RODRIGUEZ,LOJA
