,Nombre de la Institución Educativa,Provincia
1046,EMILIANO ABENDAÑO GONZALEZ,LOJA
1047,MEDARDO FILOMENO CUEVA,LOJA
1048,JUAN FRANCISCO RODRIGUEZ MORA,LOJA
1049,JOSE MIGUEL SAMANIEGO,LOJA
1050,YAGUACHI,LOJA
1051,MONSEÑOR LEONIDAS PROAÑO VILLALBA,LOJA
1052,CENTRO EDUCATIVO MUNICIPAL CATAMAYO,LOJA
1053,CENTRO PSICOPEDAGÓGICO CATAMAYO,LOJA
1054,FINE TUNED CATAMAYO,LOJA
1055,COMPENSATORIO CATAMAYO,LOJA
1056,SEMILLITAS DEL SABER,LOJA
1057,MARIA INES QUINDE BURNEO,LOJA
1058,PADRE JULIO MARIA MATOVELLE,LOJA
1059,ING ALFONSO CORONEL B,LOJA
1060,CENTRO ARTESANAL NOCTURNO CATAMAYO,LOJA
1061,CORINA DEL PARRAL,LOJA
1062,GABRIELA MISTRAL N1,LOJA
1063,SAN JUAN BAUTISTA,LOJA
1064,MERCEDES QUINDE BURNEO,LOJA
1065,DR JOSE MARIA TORRES RIOFRIO,LOJA
1066,JOSE MARIA VELAZ SJ EXTENSION N2 CATAMAYO,LOJA
1067,22 DE MAYO DE 1981,LOJA
1068,HIPOLITO QUEZADA GONZALEZ,LOJA
1069,LUIS ALFREDO SAMANIEGO ARTEAGA,LOJA
1070,CARLOS AUGUSTO ORTEGA ERIQUE,LOJA
1071,OVIDIO DECROLY,LOJA
1072,INSTITUTO TECNOLOGICO SUPERIOR NUESTRA SEÑORA DEL ROSARIO,LOJA
1073,COLEGIO NACIONAL NOCTURNO CATAMAYO,LOJA
1074,DOLORES ORDOÑEZ,LOJA
1075,MOISES ALBERTO HIDALGO JARRIN,LOJA
1076,CORONEL AUGUSTO WITT ANAZCO,LOJA
1077,JAIME ROLDOS AGUILERA,LOJA
1078,BILINGÜE CATAMAYO,LOJA
1079,PADRE ELISEO ARIAS CARRION,LOJA
1080,GABRIELA MISTRAL N2,LOJA
1081,ULPIANO MOSCOSO,LOJA
1082,EMILIANO ORTEGA ESPINOZA,LOJA
1083,NUESTRA SEÑORA DEL ROSARIO,LOJA
1084,RIO PALORA,LOJA
1085,TERESA LUCIA CELI GALVAN,LOJA
1086,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION EL PRADO,LOJA
1087,NELSON ROMERO,LOJA
1088,FULTON,LOJA
1089,8 DE DICIEMBRE,LOJA
1090,ASSAD BUCARAM,LOJA
1091,PEDRO VICTOR FALCONI,LOJA
1092,ESCUELA VICENTE BURNEO,LOJA
1093,FLAVIO ALFARO,LOJA
1094,GERÓNIMO CASTAÑEDA,LOJA
1095,MARIANA GUTIERREZ DE HIDALGO,LOJA
1096,SAN VICENTE FERRER,LOJA
1097,ENRIQUE VACAS GALINDO,LOJA
1098,LAS MERCEDES,LOJA
1099,REINA DEL CISNE,LOJA
1100,DIVINO NIÑO JESUS,LOJA
1101,NUEVO AMANECER,LOJA
1102,15 DE AGOSTO,LOJA
1103,TERESA CEPEDA Y FUENTES,LOJA
1104,ALBERTO VARGAS ERAS,LOJA
1105,GENOVEVA BUSTAMANTE DE APOLO,LOJA
1106,ROSA AURORA SANCHEZ GRANDA,LOJA
1107,BRACAMOROS,LOJA
1108,JOSE GUAMAN GUAJALA,LOJA
1109,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION 5 DE JUNIO,LOJA
1110,COLEGIO TECNICO AGROPECUARIO TRECE DE NOVIEMBRE,LOJA
1111,ESCUELA CIUDAD LOYOLA,LOJA
1112,VIRGEN DEL ROSARIO,LOJA
1113,ALFREDO BINNETT,LOJA
1114,ESCUELA FISCAL MIXTA  25 DE OCTUBRE,LOJA
1115,SABANILLA,LOJA
1116,ESCUELA CARLOS FINLAY,LOJA
1117,HONORIO FEDERICO SANCHEZ GRANDA,LOJA
1118,RIO NANGARITZA,LOJA
1119,CINCO DE MAYO   EL GUABO BAJO,LOJA
1120,MANUEL MARIA SANCHEZ,LOJA
1121,GUILLERMO GRANDA,LOJA
1122,ADELA MENDIETA,LOJA
1123,ESCUELA VALLADOLID,LOJA
1124,PROCER JOSE PICOITA,LOJA
1125,CELINA DE JESUS CALERO DE ROMAN,LOJA
1126,MANUEL GRANDA,LOJA
1127,ESCUELA ALFREDO ROBERS,LOJA
1128,CARLOS RAUL BUSTAMANTE,LOJA
1129,ESCUELA  FISCAL MIXTA ARCENIO CASTILLO,LOJA
1130,ESCUELA CARLOS BUSTAMANTE,LOJA
1131,LAS PAMPAS,LOJA
1132,JUAN CARLOS MANZANILLAS SARANGO,LOJA
1133,MARIA MADGALENA PEÑA,LOJA
1134,EFREN MONTESDEOCA,LOJA
1135,RUTH PALACIOS DE MENA,LOJA
1136,TIWINTZA,LOJA
1137,CENTRO DE PRIMARIA POPULAR REINA DEL CISNE,LOJA
1138,DIEGO DE NOBOA,LOJA
1139,MAXIMILIANO RODRIGUEZ,LOJA
1140,HUMBERTO JARAMILLO BENITEZ,LOJA
1141,ESCUELA CABO PRIMERO GONZALO EFREN MONTESDEOCA,LOJA
1142,JOSE JAVIER EGUIGUREN,LOJA
1143,JOSE MIGUEL UNDA,LOJA
1144,DR  JOSE ANTONIO BAQUERO DE LA CALLE,LOJA
1145,MIGUEL ANGEL MONTALVO,LOJA
1146,ZOILA UGARTE DE LANDIVAR,LOJA
1147,JOSE MARIA AYORA,LOJA
1148,QUININDE,LOJA
1149,VICTORIA ELIDA BUELE,LOJA
1150,MADRE TERESA DE CALCUTA,LOJA
1151,ESCUELA FISCAL MIXTA PEDRO PACHECO,LOJA
1152,ENRIQUE PESTALOZZI,LOJA
1153,JUAN JOSE FERIA PUCHA,LOJA
1154,CORDILLERA DE NAMBIJA,LOJA
1155,JESUS DEL GRAN PODER,LOJA
1156,ESCUELA FRANCISCO ENRIQUE TOLEDO,LOJA
1157,PADRE JUAN DE VELASCO,LOJA
1158,BI 19 CARCHI ESCUELA POPULAR,LOJA
1159,REPUBLICA DE GUATEMALA,LOJA
1160,MAXIMILIANO RODRIGUEZ LOAIZA,LOJA
1161,COMUNA DOMINGUILLO,LOJA
1162,PEDRO JOSE TRAJANO BUSTAMANTE,LOJA
1163,UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXT MONS HUGOLINO CERASUOL,LOJA
1164,RICARDO FERNANDEZ (C.A.),LOJA
1165,ROSAURA MENDIETA JIMBO,LOJA
1166,ESCUELA VILCABAMBA,LOJA
1167,SIMON BOLIVAR,LOJA
1168,ESCUELA RIO CANCHIS,LOJA
1169,SABULON BUSTAMANTE,LOJA
1170,SOLDADO SEGUNDO QUIROZ,LOJA
1171,MANUELA CAÑIZARES,LOJA
1172,JACINTO COLLAHUAZO,LOJA
1173,FAE,LOJA
1174,CABO SEGUNDO GABRIEL HIPOLITO SOLIS MOREIRA,LOJA
1175,CELICA,LOJA
1176,UNIDAD EDUCATIVA SANTA TERESITA,LOJA
1177,ROSA AURORA SANCHEZ GRANDA,LOJA
